Date,Open,High,Low,Close,Adj Close,Volume
2019-09-05,7.846700,7.846700,7.846700,7.846700,7.846700,0
2019-09-06,7.837000,7.837000,7.837000,7.837000,7.837000,0
2019-09-09,7.812400,7.812400,7.812400,7.812400,7.812400,0
2019-09-10,7.796600,7.796600,7.796600,7.796600,7.796600,0
2019-09-11,7.843600,7.843600,7.843600,7.843600,7.843600,0
2019-09-12,7.872100,7.872100,7.872100,7.872100,7.872100,0
2019-09-13,7.899100,7.899100,7.899100,7.899100,7.899100,0
2019-09-16,7.879200,7.879200,7.879200,7.879200,7.879200,0
2019-09-17,7.905600,7.905600,7.905600,7.905600,7.905600,0
2019-09-18,7.911500,7.911500,7.911500,7.911500,7.911500,0
2019-09-19,7.920200,7.920200,7.920200,7.920200,7.920200,0
2019-09-20,7.916800,7.916800,7.916800,7.916800,7.916800,0
2019-09-23,7.905900,7.905900,7.905900,7.905900,7.905900,0
2019-09-24,7.869100,7.869100,7.869100,7.869100,7.869100,0
2019-09-25,7.874100,7.874100,7.874100,7.874100,7.874100,0
2019-09-26,7.878700,7.878700,7.878700,7.878700,7.878700,0
2019-09-27,7.841400,7.841400,7.841400,7.841400,7.841400,0
2019-09-30,7.852000,7.852000,7.852000,7.852000,7.852000,0
2019-10-01,7.790500,7.790500,7.790500,7.790500,7.790500,0
2019-10-02,7.721700,7.721700,7.721700,7.721700,7.721700,0
2019-10-03,7.760600,7.760600,7.760600,7.760600,7.760600,0
2019-10-04,7.810300,7.810300,7.810300,7.810300,7.810300,0
2019-10-07,7.788500,7.788500,7.788500,7.788500,7.788500,0
2019-10-08,7.732300,7.732300,7.732300,7.732300,7.732300,0
2019-10-09,7.768700,7.768700,7.768700,7.768700,7.768700,0
2019-10-10,7.777100,7.777100,7.777100,7.777100,7.777100,0
2019-10-11,7.806200,7.806200,7.806200,7.806200,7.806200,0
2019-10-15,7.821500,7.821500,7.821500,7.821500,7.821500,0
2019-10-16,7.819500,7.819500,7.819500,7.819500,7.819500,0
2019-10-17,7.808300,7.808300,7.808300,7.808300,7.808300,0
2019-10-18,7.787000,7.787000,7.787000,7.787000,7.787000,0
2019-10-21,7.797300,7.797300,7.797300,7.797300,7.797300,0
2019-10-22,7.790100,7.790100,7.790100,7.790100,7.790100,0
2019-10-23,7.780300,7.780300,7.780300,7.780300,7.780300,0
2019-10-24,7.792200,7.792200,7.792200,7.792200,7.792200,0
2019-10-25,7.802100,7.802100,7.802100,7.802100,7.802100,0
2019-10-28,7.817500,7.817500,7.817500,7.817500,7.817500,0
2019-10-29,7.834900,7.834900,7.834900,7.834900,7.834900,0
2019-10-30,7.881800,7.881800,7.881800,7.881800,7.881800,0
2019-10-31,7.870400,7.870400,7.870400,7.870400,7.870400,0
2019-11-01,7.913600,7.913600,7.913600,7.913600,7.913600,0
2019-11-04,7.935700,7.935700,7.935700,7.935700,7.935700,0
2019-11-05,7.932300,7.932300,7.932300,7.932300,7.932300,0
2019-11-06,7.952100,7.952100,7.952100,7.952100,7.952100,0
2019-11-07,7.968400,7.968400,7.968400,7.968400,7.968400,0
2019-11-08,7.989000,7.989000,7.989000,7.989000,7.989000,0
2019-11-11,7.983200,7.983200,7.983200,7.983200,7.983200,0
2019-11-12,7.994000,7.994000,7.994000,7.994000,7.994000,0
2019-11-13,8.005700,8.005700,8.005700,8.005700,8.005700,0
2019-11-14,8.017200,8.017200,8.017200,8.017200,8.017200,0
2019-11-15,8.047600,8.047600,8.047600,8.047600,8.047600,0
2019-11-18,8.042300,8.042300,8.042300,8.042300,8.042300,0
2019-11-19,8.070200,8.070200,8.070200,8.070200,8.070200,0
2019-11-20,8.064000,8.064000,8.064000,8.064000,8.064000,0
2019-11-21,8.039900,8.039900,8.039900,8.039900,8.039900,0
2019-11-22,8.046400,8.046400,8.046400,8.046400,8.046400,0
2019-11-25,8.088400,8.088400,8.088400,8.088400,8.088400,0
2019-11-26,8.094200,8.094200,8.094200,8.094200,8.094200,0
2019-11-27,8.117200,8.117200,8.117200,8.117200,8.117200,0
2019-11-28,8.122400,8.122400,8.122400,8.122400,8.122400,0
2019-11-29,8.089100,8.089100,8.089100,8.089100,8.089100,0
2019-12-02,8.045500,8.045500,8.045500,8.045500,8.045500,0
2019-12-03,8.018100,8.018100,8.018100,8.018100,8.018100,0
2019-12-04,8.002500,8.002500,8.002500,8.002500,8.002500,0
2019-12-05,7.990400,7.990400,7.990400,7.990400,7.990400,0
2019-12-06,8.075400,8.075400,8.075400,8.075400,8.075400,0
2019-12-09,8.045300,8.045300,8.045300,8.045300,8.045300,0
2019-12-10,8.037100,8.037100,8.037100,8.037100,8.037100,0
2019-12-11,8.039700,8.039700,8.039700,8.039700,8.039700,0
2019-12-12,8.061800,8.061800,8.061800,8.061800,8.061800,0
2019-12-13,8.097900,8.097900,8.097900,8.097900,8.097900,0
2019-12-16,8.127200,8.127200,8.127200,8.127200,8.127200,0
2019-12-17,8.131000,8.131000,8.131000,8.131000,8.131000,0
2019-12-18,8.106300,8.106300,8.106300,8.106300,8.106300,0
2019-12-19,8.126100,8.126100,8.126100,8.126100,8.126100,0
2019-12-20,8.167800,8.167800,8.167800,8.167800,8.167800,0
2019-12-23,8.169200,8.169200,8.169200,8.169200,8.169200,0
2019-12-24,8.173700,8.173700,8.173700,8.173700,8.173700,0
2019-12-27,8.174500,8.174500,8.174500,8.174500,8.174500,0
2019-12-30,8.129600,8.129600,8.129600,8.129600,8.129600,0
2019-12-31,7.871500,7.871500,7.871500,7.871500,7.871500,0
2020-01-02,7.920600,7.920600,7.920600,7.920600,7.920600,0
2020-01-03,7.899600,7.899600,7.899600,7.899600,7.899600,0
2020-01-06,7.889900,7.889900,7.889900,7.889900,7.889900,0
2020-01-07,7.909000,7.909000,7.909000,7.909000,7.909000,0
2020-01-08,7.927600,7.927600,7.927600,7.927600,7.927600,0
2020-01-09,7.980600,7.980600,7.980600,7.980600,7.980600,0
2020-01-10,7.972600,7.972600,7.972600,7.972600,7.972600,0
2020-01-13,8.000800,8.000800,8.000800,8.000800,8.000800,0
2020-01-14,8.008000,8.008000,8.008000,8.008000,8.008000,0
2020-01-15,8.018100,8.018100,8.018100,8.018100,8.018100,0
2020-01-16,8.043700,8.043700,8.043700,8.043700,8.043700,0
